angle_1,velocity_1 angle_2,velocity_2
-0.37491,0,0.90903,0
-0.37491,0,0.908972,-0.0872222
-0.37491,0,0.909175,-0.0610556
-0.37491,0,0.909204,0
-0.37491,0,0.909175,0.0552407
-0.37491,0,0.909059,0
-0.37491,0,0.909088,-0.0552407
-0.37491,0,0.909204,-0.0232593
-0.37491,0,0.909233,0
-0.37491,0,0.909233,0.0465185
-0.37491,0,0.909175,0
-0.37491,0,0.909175,0
-0.37491,0,0.909204,0
-0.37491,0,0.909233,0.0552407
-0.37491,0,0.909117,0.0465185
-0.37491,0,0.90903,-0.0785
-0.37491,0,0.909204,-0.00581481
-0.37491,0,0.909233,0
-0.37491,0,0.909204,0.0610556
-0.37491,0,0.909088,0
-0.37491,0,0.909117,-0.0872222
-0.37491,0,0.909204,-0.0290741
-0.37491,0,0.909233,0
-0.37491,0,0.909204,0.0610556
-0.37491,0,0.909175,0
-0.37491,0,0.909175,-0.014537
-0.37491,0,0.909233,0
-0.37491,0,0.909233,0.0697778
-0.37491,0,0.909146,0
-0.37491,0,0.909117,-0.0697778
-0.37491,0,0.909233,0
-0.37491,0,0.909233,0
-0.37491,0,0.909204,0
-0.37491,0,0.909204,0
-0.37491,0,0.909204,-0.0290741
-0.37491,0,0.909233,0
-0.37491,0,0.909204,0.0290741
-0.37491,0,0.909175,0
-0.37491,0,0.909175,-0.00581481
-0.37491,0,0.909233,0
-0.37491,0,0.909233,0.0552407
-0.37491,0,0.909117,0
-0.37491,0,0.909117,-0.0785
-0.37491,0,0.909233,0
-0.37491,0,0.909233,0
-0.37491,0,0.909204,0.0465185
-0.37491,0,0.909117,0
-0.37491,0,0.909175,0
-0.37491,0,0.909204,0
-0.37491,0,0.909204,0
-0.37491,0,0.909175,0
-0.37491,0,0.909175,-0.0290741
-0.37491,0,0.909233,0
-0.37491,0,0.909233,0
-0.37491,0,0.909204,0
-0.37491,0,0.909233,0
-0.37491,0,0.909233,0
-0.37491,0,0.909204,0.0465185
-0.37491,0,0.909175,-0.0290741
-0.37491,0,0.909233,-0.0290741
