torque_1,torque_2
-0.0137252,-0.64779
-0.0175752,-0.65019
-0.0214252,-0.65259
-0.0252752,-0.65499
-0.0287752,-0.65739
-0.0326252,-0.65979
-0.0364752,-0.66219
-0.0403252,-0.66429
-0.0438252,-0.66669
-0.0476752,-0.66909
-0.0515252,-0.67149
-0.0553752,-0.67389
-0.0592252,-0.67629
-0.0627252,-0.67839
-0.0665752,-0.68079
-0.0704252,-0.68319
-0.0742752,-0.68559
-0.0781252,-0.68799
-0.0816252,-0.69039
-0.0854752,-0.69249
-0.0893252,-0.69489
-0.0931752,-0.69729
-0.0970252,-0.69969
-0.100525,-0.701218
-0.104375,-0.703318
-0.108225,-0.705718
-0.112075,-0.708118
-0.115925,-0.710518
-0.119425,-0.713499
-0.123275,-0.713273
-0.127125,-0.715673
-0.130975,-0.718073
-0.134825,-0.720473
-0.138675,-0.722873
-0.142525,-0.724973
-0.146025,-0.728827
-0.149875,-0.728901
-0.153725,-0.731301
-0.157575,-0.733401
-0.161425,-0.734929
-0.165275,-0.737329
-0.168775,-0.739729
-0.172625,-0.742129
-0.176475,-0.744229
-0.180325,-0.745757
-0.184175,-0.748157
-0.188025,-0.750557
-0.191875,-0.752657
-0.195725,-0.755057
-0.199225,-0.758038
-0.203075,-0.758984
-0.206925,-0.761084
-0.209758,-0.764357
-0.213608,-0.765884
-0.217458,-0.768284
-0.221308,-0.770384
-0.205533,-0.777436
-0.22799,-0.774312
-0.230822,-0.777584
-0.234322,-0.784918
-0.237155,-0.785864
-0.241005,-0.781868
-0.243837,-0.78484
-0.236348,-0.788112
-0.239181,-0.790512
-0.251317,-0.79204
-0.255167,-0.793268
-0.257999,-0.795668
-0.251528,-0.798068
-0.245057,-0.805692
-0.25036,-0.805766
-0.268311,-0.804968
-0.271144,-0.811147
-0.272609,-0.809468
-0.275441,-0.811868
-0.266644,-0.818047
-0.257992,-0.816368
-0.259807,-0.824873
-0.284735,-0.821168
-0.287568,-0.82792
-0.278771,-0.823923
-0.291197,-0.829521
-0.275422,-0.831331
-0.295845,-0.831696
-0.28603,-0.838747
-0.280867,-0.841429
-0.298963,-0.843247
-0.302086,-0.843321
-0.303901,-0.844849
-0.299901,-0.844623
-0.307531,-0.852257
-0.309346,-0.854647
-0.307817,-0.856175
-0.301636,-0.860029
-0.29313,-0.858931
-0.291456,-0.859005
-0.299231,-0.866347
-0.297557,-0.869029
-0.316961,-0.864451
-0.290865,-0.872375
-0.295151,-0.875929
-0.315573,-0.877747
-0.317388,-0.878403
-0.325018,-0.877305
-0.311714,-0.880577
-0.325304,-0.885303
-0.307348,-0.889147
-0.309163,-0.891547
-0.305163,-0.893357
-0.316282,-0.896629
-0.3274,-0.899029
-0.326889,-0.899675
-0.328704,-0.898877
-0.333195,-0.904175
-0.316402,-0.905703
-0.324032,-0.908684
-0.340093,-0.911075
-0.3233,-0.909114
-0.349537,-0.912386
-0.351352,-0.912742
-0.341537,-0.917759
-0.328524,-0.914334
-0.338625,-0.923131
-0.343929,-0.92494
-0.330916,-0.927631
-0.334039,-0.927414
-0.351118,-0.92806
-0.337001,-0.932786
-0.334455,-0.93634
-0.345573,-0.936414
-0.333578,-0.94114
-0.343679,-0.940042
-0.344476,-0.946512
-0.340476,-0.94396
-0.359881,-0.95014
-0.339599,-0.953112
-0.346211,-0.953186
